timesteps,ent_coef,policy_loss,value_loss,entropy_loss,approx_kl,early_stopped,grad_norm,reward_mean,reward_std,avg_steps_survived,max_hover_streak,avg_final_dist,min_final_dist,std_final_dist,effective_std_mean,total_param_norm,outcome_oob,outcome_attitude-ROLL,outcome_attitude-PITCH,outcome_hit,outcome_hover_success,outcome_moving_away_cap,outcome_drift,outcome_timeout
795000,0.00422,0.24618396449659485,147.81486228108406,5.8097199480980635,15.186538418929558,True,266.51857501268387,727.9724223655397,940.3149376407464,1230.3,0,106.02936621884619,44.03180473636792,37.017194285962674,0.05703195929527283,176.80830421298742,0,14,6,0,0,0,0,0
810000,0.0042049999999999995,0.06923342781374231,15.12186049669981,5.809807891026139,0.2548265101358993,True,250.48198279738426,353.01947072207616,163.86898427925703,1285.9,0,104.67499959850954,45.4468027832458,34.948917113405734,0.057032085955142975,176.79228480160236,0,12,8,0,0,0,0,0
825000,0.00419,0.32210575163480826,245.04051150381565,5.8097448740154505,11.68278786331939,True,322.0733803808689,881.1721265487265,1064.1135731320392,881.55,0,130.1168604631238,118.70176907701635,9.705880464498811,0.05703223496675491,176.81376661360264,0,11,9,0,0,0,0,0
840000,0.004175,0.16019341533683473,118.21289973706007,5.809687243774533,0.5951005157548934,True,227.37481662631035,637.4374255326264,930.9596768021493,1108.45,0,104.98657271758842,43.490702829096854,41.67669103131317,0.05703236162662506,176.826800622046,0,17,3,0,0,0,0,0
855000,0.00416,0.1369142097137228,88.32609986513853,5.809738853946328,0.5061925535846967,True,245.33587259054184,398.65443590897354,694.8717805649194,1353.2,0,89.47912387346476,1.382363400666707,65.3834641266215,0.05703248456120491,176.8541254401207,0,9,4,0,0,7,0,0
870000,0.004145,0.4219697838052525,568.2442829608917,5.809764886274934,13.024908746461733,True,695.014741063118,1848.0690644663205,1386.4166442823068,966.8,0,115.45981553307331,44.04419327579686,37.27978735169574,0.0570325069129467,176.91499322652817,0,13,7,0,0,0,0,0
885000,0.00413,0.18794612192868954,226.0043087080121,5.809570180252194,1.7818101576267509,True,233.67705282568932,505.86895193452585,876.004037446224,916.0,0,109.75160908393559,43.64481411893586,44.779060986040285,0.05703260749578476,176.9308450371027,0,16,4,0,0,0,0,0
900000,0.004115,0.2588468488538638,365.9141763448715,5.809670612215996,9.399019397198572,True,346.98407927155495,1090.976784929334,1246.3365251312669,876.05,0,121.43488177641925,94.99486064689822,21.31554070138372,0.05703269690275192,176.97838397324085,0,17,3,0,0,0,0,0
915000,0.0041,0.2714976160641527,347.13949105143547,5.809659266844392,3.3104274297802476,True,364.1950085759163,970.3529080618189,1146.904430311209,891.0,0,121.81857778976689,100.74245215334305,19.05635346096996,0.05703280121088028,177.0128752142191,0,18,2,0,0,0,0,0
930000,0.004085,0.37749985681148246,81.86230284720659,5.809284469112754,13.80144318054954,True,262.38777500391006,686.6668376352012,651.4513869999228,784.2,0,120.6228556019831,73.3239837716764,27.06651551897404,0.05703302100300789,177.03055535256863,0,19,1,0,0,0,0,0
